region_name,alcohol_sales,ratio_vodka_beer,year
Magadan Oblast,10.39,4.0,2008
Magadan Oblast,12.39,4.01,2009
Magadan Oblast,12.04,2.61,2010
Magadan Oblast,11.89,2.53,2011
Magadan Oblast,15.1,3.25,2012
Magadan Oblast,12.37,2.31,2013
Magadan Oblast,12.02,2.08,2014
Magadan Oblast,10.15,1.92,2015
Moscow Oblast,7.15,10.22,1998
Moscow Oblast,7.64,8.0,1999
Moscow Oblast,8.57,6.09,2000
Moscow Oblast,8.44,5.67,2001
Moscow Oblast,8.91,4.6,2002
Moscow Oblast,10.42,5.54,2003
Moscow Oblast,11.34,5.72,2004
Moscow Oblast,10.98,4.9,2005
Moscow Oblast,11.9,4.38,2006
Moscow Oblast,11.95,2.01,2007
Moscow Oblast,12.2,1.4,2008
Moscow Oblast,12.17,1.07,2009
Moscow Oblast,12.11,1.03,2010
Moscow Oblast,12.38,0.95,2011
Moscow Oblast,11.37,0.9,2012
Moscow Oblast,11.22,0.93,2013
Moscow Oblast,10.72,0.83,2014
Moscow Oblast,11.57,0.72,2015
Murmansk Oblast,8.73,6.21,1998
Murmansk Oblast,9.45,5.25,1999
Murmansk Oblast,9.99,5.03,2000
Murmansk Oblast,10.62,4.54,2001
Murmansk Oblast,11.46,4.18,2002
Murmansk Oblast,11.84,4.13,2003
Murmansk Oblast,12.26,3.79,2004
Murmansk Oblast,12.58,3.55,2005
Murmansk Oblast,11.84,3.02,2006
Murmansk Oblast,12.01,2.85,2007
Murmansk Oblast,11.9,2.62,2008
Murmansk Oblast,10.76,2.43,2009
Murmansk Oblast,9.88,1.98,2010
Murmansk Oblast,9.93,1.94,2011
Murmansk Oblast,10.25,1.99,2012
Murmansk Oblast,10.37,1.95,2013
Murmansk Oblast,9.3,1.61,2014
Murmansk Oblast,8.91,1.51,2015
Nizhny Novgorod Oblast,5.19,5.19,1998
Nizhny Novgorod Oblast,6.17,3.34,1999
Nizhny Novgorod Oblast,5.87,2.84,2000
Nizhny Novgorod Oblast,6.42,2.26,2001
Nizhny Novgorod Oblast,7.05,2.13,2002
Nizhny Novgorod Oblast,7.59,1.98,2003
Nizhny Novgorod Oblast,8.28,1.87,2004
Nizhny Novgorod Oblast,8.88,1.58,2005
Nizhny Novgorod Oblast,10.18,1.71,2006
Nizhny Novgorod Oblast,9.57,1.37,2007
Nizhny Novgorod Oblast,9.23,1.55,2008
Nizhny Novgorod Oblast,8.92,1.6,2009
Nizhny Novgorod Oblast,8.63,1.78,2010
Nizhny Novgorod Oblast,8.36,1.7,2011
Nizhny Novgorod Oblast,8.25,1.57,2012
Nizhny Novgorod Oblast,7.37,1.23,2013
Nizhny Novgorod Oblast,6.95,0.99,2014
Nizhny Novgorod Oblast,6.61,0.91,2015
Novgorod Oblast,9.0,4.04,1998
Novgorod Oblast,10.3,2.89,1999
Novgorod Oblast,7.79,2.57,2000
Novgorod Oblast,7.46,2.9,2001
Novgorod Oblast,7.84,2.82,2002
Novgorod Oblast,7.78,3.09,2003
Novgorod Oblast,8.1,3.1,2004
Novgorod Oblast,8.08,2.97,2005
Novgorod Oblast,8.98,2.88,2006
Novgorod Oblast,9.58,2.51,2007
Novgorod Oblast,10.77,2.11,2008
Novgorod Oblast,10.37,2.28,2009
Novgorod Oblast,10.72,2.37,2010
Novgorod Oblast,10.82,2.38,2011
Novgorod Oblast,10.7,2.35,2012
Novgorod Oblast,9.56,2.07,2013
Novgorod Oblast,8.96,1.56,2014
Novgorod Oblast,8.84,1.54,2015
Novosibirsk Oblast,8.05,5.96,1998
Novosibirsk Oblast,10.15,5.84,1999
Novosibirsk Oblast,10.73,4.44,2000
Novosibirsk Oblast,11.26,3.4,2001
Novosibirsk Oblast,10.94,3.34,2002
Novosibirsk Oblast,11.9,2.65,2003
Novosibirsk Oblast,8.94,1.19,2004
Novosibirsk Oblast,7.64,0.76,2005
Novosibirsk Oblast,7.6,0.69,2006
Novosibirsk Oblast,12.34,1.46,2007
Novosibirsk Oblast,11.06,1.2,2008
Novosibirsk Oblast,9.49,1.14,2009
Novosibirsk Oblast,8.97,1.21,2010
Novosibirsk Oblast,9.46,0.98,2011
Novosibirsk Oblast,9.56,0.87,2012
Novosibirsk Oblast,8.04,0.84,2013
Novosibirsk Oblast,7.16,0.77,2014
Novosibirsk Oblast,5.71,0.81,2015
Omsk Oblast,8.33,2.43,1998
Omsk Oblast,9.67,3.69,1999
Omsk Oblast,6.94,1.99,2000
Omsk Oblast,8.44,1.77,2001
Omsk Oblast,10.55,1.32,2002
Omsk Oblast,11.35,1.2,2003
Omsk Oblast,5.57,2.68,2004
Omsk Oblast,5.77,2.61,2005
Omsk Oblast,5.0,1.87,2006
Omsk Oblast,8.99,0.63,2007
Omsk Oblast,10.61,0.55,2008
Omsk Oblast,9.8,0.53,2009
Omsk Oblast,9.68,0.46,2010
Omsk Oblast,9.99,0.43,2011
Omsk Oblast,10.04,0.45,2012
Omsk Oblast,8.12,0.39,2013
Omsk Oblast,6.67,0.43,2014
Omsk Oblast,6.38,0.41,2015
Orenburg Oblast,5.02,3.83,1998
Orenburg Oblast,6.04,3.69,1999
Orenburg Oblast,5.69,2.41,2000
Orenburg Oblast,6.49,2.5,2001
Orenburg Oblast,6.51,2.55,2002
Orenburg Oblast,5.29,2.37,2003
Orenburg Oblast,5.73,1.93,2004
Orenburg Oblast,6.22,1.89,2005
Orenburg Oblast,7.05,1.78,2006
Orenburg Oblast,6.98,1.42,2007
Orenburg Oblast,8.03,1.06,2008
Orenburg Oblast,7.47,0.79,2009
Orenburg Oblast,6.89,0.79,2010
Orenburg Oblast,6.67,0.77,2011
Orenburg Oblast,6.7,0.8,2012
Orenburg Oblast,6.16,0.72,2013
Orenburg Oblast,5.25,0.49,2014
Orenburg Oblast,4.7,0.5,2015
Oryol Oblast,6.08,6.42,1998
Oryol Oblast,8.17,4.08,1999
Oryol Oblast,8.16,3.81,2000
Oryol Oblast,7.02,3.21,2001
Oryol Oblast,6.62,3.02,2002
Oryol Oblast,6.62,2.59,2003
Oryol Oblast,5.88,1.82,2004
Oryol Oblast,5.95,1.61,2005
Oryol Oblast,6.06,1.38,2006
Oryol Oblast,6.26,1.36,2007
Oryol Oblast,7.55,1.15,2008
Oryol Oblast,7.67,1.24,2009
Oryol Oblast,7.61,1.11,2010
Oryol Oblast,7.56,1.04,2011
Oryol Oblast,7.71,0.96,2012
Oryol Oblast,7.45,0.73,2013
Oryol Oblast,5.91,0.72,2014
Oryol Oblast,6.01,0.63,2015
Penza Oblast,3.54,2.51,1998
Penza Oblast,3.71,2.44,1999
Penza Oblast,4.2,1.9,2000
Penza Oblast,4.93,1.81,2001
Penza Oblast,5.15,1.71,2002
Penza Oblast,5.87,1.82,2003
Penza Oblast,5.91,1.45,2004
Penza Oblast,7.22,1.13,2005
Penza Oblast,6.68,0.95,2006
Penza Oblast,7.19,1.1,2007
Penza Oblast,7.32,0.97,2008
Penza Oblast,7.2,1.01,2009
Penza Oblast,7.37,0.97,2010
Penza Oblast,8.71,0.72,2011
Penza Oblast,8.81,0.6,2012
Penza Oblast,9.86,0.37,2013
Penza Oblast,8.13,0.39,2014
Penza Oblast,7.51,0.55,2015
Perm Krai,8.2,7.03,1998
Perm Krai,7.75,8.21,1999
Perm Krai,10.3,5.21,2000
Perm Krai,9.91,2.24,2001
Perm Krai,10.8,2.39,2002
Perm Krai,10.47,2.37,2003
Perm Krai,11.26,1.88,2004
Perm Krai,9.6,1.38,2005
Perm Krai,10.6,1.09,2006
Perm Krai,11.33,1.16,2007
Perm Krai,10.94,0.95,2008
Perm Krai,9.84,1.03,2009
Perm Krai,9.36,1.1,2010
Perm Krai,9.12,1.02,2011
Perm Krai,9.18,0.94,2012
Perm Krai,8.29,0.94,2013
Perm Krai,7.34,1.29,2014
Perm Krai,6.98,1.21,2015
Pskov Oblast,4.11,9.67,1998
Pskov Oblast,4.84,3.51,1999
Pskov Oblast,7.21,4.69,2000
Pskov Oblast,8.25,3.18,2001
Pskov Oblast,7.98,1.87,2002
Pskov Oblast,8.74,1.65,2003
Pskov Oblast,9.74,1.2,2004
Pskov Oblast,8.79,1.24,2005
Pskov Oblast,9.18,1.12,2006
Pskov Oblast,9.3,1.4,2007
Pskov Oblast,10.32,1.52,2008
Pskov Oblast,10.23,1.73,2009
Pskov Oblast,11.18,2.08,2010
Pskov Oblast,9.97,2.24,2011
Pskov Oblast,8.71,2.25,2012
Pskov Oblast,6.46,1.58,2013
Pskov Oblast,7.7,1.41,2014
Pskov Oblast,7.0,1.5,2015
Rostov Oblast,5.72,3.86,1998
Rostov Oblast,6.23,2.79,1999
Rostov Oblast,5.66,2.11,2000
Rostov Oblast,5.62,1.42,2001
Rostov Oblast,5.82,1.25,2002
Rostov Oblast,6.14,1.08,2003
Rostov Oblast,6.41,0.94,2004
Rostov Oblast,6.39,0.91,2005
Rostov Oblast,5.82,0.78,2006
Rostov Oblast,5.99,0.7,2007
Rostov Oblast,5.94,0.8,2008
Rostov Oblast,5.73,0.86,2009
Rostov Oblast,5.56,0.89,2010
Rostov Oblast,5.53,0.87,2011
Rostov Oblast,5.61,0.83,2012
Rostov Oblast,5.43,0.7,2013
Rostov Oblast,5.21,0.57,2014
Rostov Oblast,4.4,0.62,2015
Ryazan Oblast,7.75,4.17,1998
Ryazan Oblast,7.89,3.71,1999
Ryazan Oblast,7.37,3.3,2000
Ryazan Oblast,7.91,2.68,2001
Ryazan Oblast,7.65,2.3,2002
Ryazan Oblast,7.9,2.15,2003
Ryazan Oblast,7.35,1.46,2004
Ryazan Oblast,7.33,1.29,2005
Ryazan Oblast,7.34,1.28,2006
Ryazan Oblast,7.78,1.25,2007
Ryazan Oblast,7.73,1.3,2008
Ryazan Oblast,7.21,1.21,2009
Ryazan Oblast,7.58,1.19,2010
Ryazan Oblast,7.94,1.01,2011
Ryazan Oblast,8.46,1.03,2012
Ryazan Oblast,7.4,0.91,2013
Ryazan Oblast,6.06,0.86,2014
Ryazan Oblast,5.96,0.85,2015
Samara Oblast,6.27,3.88,1998
Samara Oblast,4.68,2.44,1999
Samara Oblast,5.02,2.07,2000
Samara Oblast,5.33,1.94,2001
Samara Oblast,5.57,1.66,2002
Samara Oblast,5.84,1.45,2003
Samara Oblast,6.32,1.34,2004
Samara Oblast,7.28,1.6,2005
Samara Oblast,7.49,1.22,2006
Samara Oblast,8.03,1.2,2007
Samara Oblast,8.69,1.34,2008
Samara Oblast,8.2,1.41,2009
Samara Oblast,8.04,1.22,2010
Samara Oblast,8.18,1.23,2011
Samara Oblast,7.36,1.17,2012
Samara Oblast,6.72,1.0,2013
Samara Oblast,6.07,0.65,2014
Samara Oblast,6.0,0.56,2015
Saratov Oblast,6.46,3.8,1998
Saratov Oblast,4.25,3.03,1999
Saratov Oblast,4.54,2.68,2000
Saratov Oblast,4.71,2.8,2001
Saratov Oblast,5.66,2.62,2002
Saratov Oblast,5.92,1.61,2003
Saratov Oblast,6.57,1.4,2004
Saratov Oblast,6.68,1.74,2005
Saratov Oblast,7.07,1.22,2006
Saratov Oblast,7.03,1.35,2007
Saratov Oblast,6.23,2.1,2008
Saratov Oblast,6.68,1.59,2009
Saratov Oblast,6.94,1.45,2010
Saratov Oblast,7.1,1.39,2011
Saratov Oblast,7.29,1.3,2012
Saratov Oblast,5.05,1.03,2013
Saratov Oblast,4.24,0.72,2014
Saratov Oblast,3.91,0.68,2015
Sakhalin Oblast,7.59,9.38,1998
Sakhalin Oblast,9.65,8.66,1999
Sakhalin Oblast,9.02,6.9,2000
Sakhalin Oblast,10.31,5.47,2001
Sakhalin Oblast,12.7,5.23,2002
Sakhalin Oblast,12.25,4.88,2003
Sakhalin Oblast,11.05,4.47,2004
Sakhalin Oblast,11.11,3.87,2005
Sakhalin Oblast,10.98,2.51,2006
Sakhalin Oblast,10.99,2.73,2007
Sakhalin Oblast,12.81,2.4,2008
Sakhalin Oblast,12.15,2.99,2009
Sakhalin Oblast,12.61,2.53,2010
Sakhalin Oblast,12.86,2.2,2011
Sakhalin Oblast,12.19,2.04,2012
Sakhalin Oblast,11.42,1.69,2013
Sakhalin Oblast,11.13,1.4,2014
Sakhalin Oblast,12.2,1.46,2015
Sverdlovsk Oblast,7.53,3.29,1998
Sverdlovsk Oblast,7.87,2.76,1999
Sverdlovsk Oblast,8.32,2.56,2000
Sverdlovsk Oblast,8.51,2.46,2001
Sverdlovsk Oblast,9.82,2.36,2002
Sverdlovsk Oblast,10.11,2.14,2003
Sverdlovsk Oblast,11.44,1.68,2004
Sverdlovsk Oblast,12.32,1.72,2005
Sverdlovsk Oblast,14.09,1.64,2006
Sverdlovsk Oblast,13.35,1.42,2007
Sverdlovsk Oblast,13.04,1.31,2008
Sverdlovsk Oblast,12.31,1.24,2009
Sverdlovsk Oblast,12.06,1.23,2010
Sverdlovsk Oblast,11.35,1.11,2011
Sverdlovsk Oblast,10.68,1.02,2012
Sverdlovsk Oblast,10.8,1.03,2013
Sverdlovsk Oblast,8.5,0.91,2014
Sverdlovsk Oblast,7.99,1.03,2015
Smolensk Oblast,7.94,3.15,1998
Smolensk Oblast,9.76,2.44,1999
Smolensk Oblast,12.01,3.07,2000
Smolensk Oblast,13.76,2.58,2001
Smolensk Oblast,16.26,2.11,2002
Smolensk Oblast,16.21,2.22,2003
Smolensk Oblast,15.27,2.32,2004
Smolensk Oblast,12.22,1.79,2005
Smolensk Oblast,11.65,2.15,2006
Smolensk Oblast,9.88,1.71,2007
Smolensk Oblast,10.27,1.86,2008
Smolensk Oblast,9.94,1.88,2009
Smolensk Oblast,9.91,1.98,2010
Smolensk Oblast,9.53,1.75,2011
Smolensk Oblast,9.74,1.78,2012
Smolensk Oblast,8.85,1.6,2013
Smolensk Oblast,7.95,1.27,2014
Smolensk Oblast,7.39,1.22,2015
Tambov Oblast,6.02,7.81,1998
Tambov Oblast,4.98,3.46,1999
Tambov Oblast,6.23,4.12,2000
Tambov Oblast,7.34,4.91,2001
Tambov Oblast,7.54,3.99,2002
Tambov Oblast,8.15,3.22,2003
Tambov Oblast,9.12,2.49,2004
Tambov Oblast,7.21,1.39,2005
Tambov Oblast,7.25,1.34,2006
Tambov Oblast,7.73,1.47,2007
Tambov Oblast,7.69,1.3,2008
Tambov Oblast,8.12,1.25,2009
Tambov Oblast,7.76,0.91,2010
Tambov Oblast,7.8,0.94,2011
Tambov Oblast,8.48,0.86,2012
Tambov Oblast,7.72,0.64,2013
Tambov Oblast,5.52,0.51,2014
Tambov Oblast,5.33,0.49,2015
Tver Oblast,4.76,5.05,1998
Tver Oblast,8.74,5.85,1999
Tver Oblast,9.21,4.06,2000
Tver Oblast,9.94,4.16,2001
Tver Oblast,11.44,4.24,2002
Tver Oblast,10.91,3.69,2003
Tver Oblast,12.11,3.16,2004
Tver Oblast,11.82,3.02,2005
Tver Oblast,11.69,2.24,2006
Tver Oblast,11.4,1.85,2007
Tver Oblast,11.86,1.74,2008
Tver Oblast,11.14,1.83,2009
Tver Oblast,10.88,1.81,2010
Tver Oblast,10.46,1.67,2011
Tver Oblast,10.53,1.71,2012
Tver Oblast,9.65,1.55,2013
Tver Oblast,8.47,1.17,2014
Tver Oblast,8.64,1.07,2015
Tomsk Oblast,8.52,7.19,1998
Tomsk Oblast,8.35,5.86,1999
Tomsk Oblast,8.29,3.7,2000
Tomsk Oblast,9.27,3.64,2001
Tomsk Oblast,9.6,3.62,2002
Tomsk Oblast,10.4,3.21,2003
Tomsk Oblast,8.74,2.24,2004
Tomsk Oblast,9.13,2.13,2005
Tomsk Oblast,9.29,1.75,2006
Tomsk Oblast,9.91,1.88,2007
Tomsk Oblast,10.31,1.6,2008
Tomsk Oblast,9.24,1.73,2009
Tomsk Oblast,8.89,1.94,2010
Tomsk Oblast,8.72,2.16,2011
Tomsk Oblast,8.37,2.26,2012
Tomsk Oblast,8.12,2.01,2013
Tomsk Oblast,6.1,1.21,2014
Tomsk Oblast,6.11,1.16,2015
Tula Oblast,6.15,3.87,1998
Tula Oblast,7.27,3.16,1999
Tula Oblast,7.54,2.9,2000
Tula Oblast,8.19,2.81,2001
Tula Oblast,8.18,2.28,2002
Tula Oblast,7.67,2.45,2003
Tula Oblast,7.57,2.38,2004
Tula Oblast,7.21,2.11,2005
Tula Oblast,6.49,1.57,2006
Tula Oblast,6.62,1.58,2007
Tula Oblast,6.83,1.47,2008
Tula Oblast,7.08,1.49,2009
Tula Oblast,7.32,1.55,2010
Tula Oblast,7.65,1.48,2011
Tula Oblast,7.24,1.61,2012
Tula Oblast,6.13,1.2,2013
Tula Oblast,5.66,0.94,2014
Tula Oblast,5.5,0.9,2015
Tyumen Oblast,6.37,3.87,1998
Tyumen Oblast,7.82,3.14,1999
Tyumen Oblast,9.81,3.9,2000
Tyumen Oblast,11.58,3.35,2001
Tyumen Oblast,14.23,2.42,2002
Tyumen Oblast,13.05,1.59,2003
Tyumen Oblast,13.07,1.57,2004
Tyumen Oblast,13.4,1.5,2005
Tyumen Oblast,13.84,1.49,2006
Tyumen Oblast,12.3,1.27,2007
Tyumen Oblast,12.19,1.28,2008
Tyumen Oblast,11.2,1.22,2009
Tyumen Oblast,11.17,1.17,2010
Tyumen Oblast,10.81,1.12,2011
Tyumen Oblast,10.72,1.12,2012
Tyumen Oblast,10.35,1.1,2013
Tyumen Oblast,9.2,1.02,2014
Tyumen Oblast,9.0,1.03,2015
Ulyanovsk Oblast,5.86,2.23,1998
Ulyanovsk Oblast,6.76,1.83,1999
Ulyanovsk Oblast,6.69,1.82,2000
Ulyanovsk Oblast,6.47,1.61,2001
Ulyanovsk Oblast,6.27,1.62,2002
Ulyanovsk Oblast,7.02,1.98,2003
Ulyanovsk Oblast,7.3,1.84,2004
Ulyanovsk Oblast,6.95,2.75,2005
Ulyanovsk Oblast,6.44,1.28,2006
Ulyanovsk Oblast,6.81,1.23,2007
Ulyanovsk Oblast,6.39,1.56,2008
Ulyanovsk Oblast,6.39,1.66,2009
Ulyanovsk Oblast,6.75,1.76,2010
Ulyanovsk Oblast,7.43,1.24,2011
Ulyanovsk Oblast,7.19,1.2,2012
Ulyanovsk Oblast,6.76,1.07,2013
Ulyanovsk Oblast,5.45,0.82,2014
Ulyanovsk Oblast,5.47,0.7,2015
Chelyabinsk Oblast,6.65,3.18,1998
Chelyabinsk Oblast,7.91,3.45,1999
Chelyabinsk Oblast,9.31,2.71,2000
Chelyabinsk Oblast,9.49,2.87,2001
Chelyabinsk Oblast,10.33,2.41,2002
Chelyabinsk Oblast,10.8,2.02,2003
Chelyabinsk Oblast,12.26,1.73,2004
Chelyabinsk Oblast,13.8,1.72,2005
Chelyabinsk Oblast,13.12,1.23,2006
Chelyabinsk Oblast,13.88,1.01,2007
Chelyabinsk Oblast,14.52,0.95,2008
Chelyabinsk Oblast,14.1,1.01,2009
Chelyabinsk Oblast,11.82,0.87,2010
Chelyabinsk Oblast,10.31,1.08,2011
Chelyabinsk Oblast,9.91,1.22,2012
Chelyabinsk Oblast,7.78,0.68,2013
Chelyabinsk Oblast,6.17,0.86,2014
Chelyabinsk Oblast,6.23,1.02,2015
Zabaykalsky Krai,2.6,4.65,1998
Zabaykalsky Krai,3.09,4.03,1999
Zabaykalsky Krai,3.92,3.41,2000
Zabaykalsky Krai,5.14,2.89,2001
Zabaykalsky Krai,6.59,2.79,2002
Zabaykalsky Krai,7.68,2.6,2003
Zabaykalsky Krai,28.72,1.71,2004
Zabaykalsky Krai,25.3,1.23,2005
Zabaykalsky Krai,25.58,1.22,2006
Zabaykalsky Krai,9.48,1.74,2007
Zabaykalsky Krai,9.74,1.71,2008
Zabaykalsky Krai,9.92,1.65,2009
Zabaykalsky Krai,9.67,1.64,2010
Zabaykalsky Krai,9.96,1.65,2011
Zabaykalsky Krai,9.92,1.6,2012
Zabaykalsky Krai,9.36,1.58,2013
Zabaykalsky Krai,6.66,1.9,2014
Zabaykalsky Krai,6.25,1.9,2015
Yaroslavl Oblast,10.68,5.21,1998
Yaroslavl Oblast,11.03,4.26,1999
Yaroslavl Oblast,10.9,2.56,2000
Yaroslavl Oblast,11.86,2.09,2001
Yaroslavl Oblast,13.4,1.8,2002
Yaroslavl Oblast,11.11,2.39,2003
Yaroslavl Oblast,11.3,2.38,2004
Yaroslavl Oblast,9.73,1.85,2005
Yaroslavl Oblast,10.1,1.76,2006
Yaroslavl Oblast,11.15,1.71,2007
Yaroslavl Oblast,10.8,1.56,2008
Yaroslavl Oblast,10.69,1.52,2009
Yaroslavl Oblast,10.62,1.28,2010
Yaroslavl Oblast,10.38,1.23,2011
Yaroslavl Oblast,10.58,1.38,2012
Yaroslavl Oblast,9.92,1.12,2013
Yaroslavl Oblast,8.73,1.29,2014
Yaroslavl Oblast,8.59,1.26,2015
Moscow,10.58,5.04,1998
Moscow,11.78,2.67,1999
Moscow,12.07,2.43,2000
Moscow,13.21,2.0,2001
Moscow,14.02,1.94,2002
Moscow,15.25,2.07,2003
Moscow,16.14,1.94,2004
Moscow,16.72,1.78,2005
Moscow,16.76,1.72,2006
Moscow,16.28,1.81,2007
Moscow,15.12,1.69,2008
Moscow,14.13,1.94,2009
Moscow,13.55,1.51,2010
Moscow,13.85,1.48,2011
Moscow,13.54,1.47,2012
Moscow,13.37,1.38,2013
Moscow,12.74,1.52,2014
Moscow,11.34,1.34,2015
Saint Petersburg,6.98,3.53,1998
Saint Petersburg,8.83,1.81,1999
Saint Petersburg,10.42,1.72,2000
Saint Petersburg,12.6,1.23,2001
Saint Petersburg,13.54,1.32,2002
Saint Petersburg,12.53,1.08,2003
Saint Petersburg,11.94,1.07,2004
Saint Petersburg,13.68,1.24,2005
Saint Petersburg,14.58,1.05,2006
Saint Petersburg,12.9,1.05,2007
Saint Petersburg,13.82,0.79,2008
Saint Petersburg,12.64,0.53,2009
Saint Petersburg,11.31,0.67,2010
Saint Petersburg,9.36,0.87,2011
Saint Petersburg,9.12,0.89,2012
Saint Petersburg,6.62,1.3,2013
Saint Petersburg,7.02,1.47,2014
Saint Petersburg,5.96,1.56,2015
Jewish Autonomous Oblast,5.6,7.93,1998
Jewish Autonomous Oblast,5.67,7.93,1999
Jewish Autonomous Oblast,6.23,7.28,2000
Jewish Autonomous Oblast,6.39,5.39,2001
Jewish Autonomous Oblast,4.96,2.27,2002
Jewish Autonomous Oblast,5.26,1.31,2003
Jewish Autonomous Oblast,6.16,1.16,2004
Jewish Autonomous Oblast,6.33,0.96,2005
Jewish Autonomous Oblast,6.35,1.07,2006
Jewish Autonomous Oblast,7.05,1.39,2007
Jewish Autonomous Oblast,7.56,1.5,2008
Jewish Autonomous Oblast,8.15,1.47,2009
Jewish Autonomous Oblast,8.76,1.64,2010
Jewish Autonomous Oblast,8.82,1.63,2011
Jewish Autonomous Oblast,9.11,1.65,2012
Jewish Autonomous Oblast,8.24,1.24,2013
Jewish Autonomous Oblast,7.3,1.25,2014
Jewish Autonomous Oblast,7.53,1.28,2015
Republic of Buryatia,7.04,14.36,1998
Republic of Buryatia,8.64,16.51,1999
Republic of Buryatia,7.77,7.77,2000
Republic of Buryatia,8.38,12.79,2001
Republic of Buryatia,9.4,7.58,2002
Republic of Buryatia,7.79,3.39,2003
Republic of Buryatia,7.51,2.73,2004
Republic of Buryatia,7.68,3.44,2005
Republic of Buryatia,8.17,2.3,2006
Republic of Buryatia,8.49,2.88,2007
Republic of Buryatia,8.5,2.54,2008
Republic of Buryatia,9.15,2.4,2009
Republic of Buryatia,9.09,2.65,2010
Republic of Buryatia,8.45,2.78,2011
Republic of Buryatia,8.27,2.72,2012
Republic of Buryatia,6.92,2.1,2013
Republic of Buryatia,6.37,1.83,2014
Republic of Buryatia,5.64,1.71,2015
Chukotka Autonomous Okrug,2.08,20.44,1998
Chukotka Autonomous Okrug,2.96,23.3,1999
Chukotka Autonomous Okrug,3.26,10.0,2000
Chukotka Autonomous Okrug,4.91,7.13,2001
Chukotka Autonomous Okrug,6.18,16.62,2002
Chukotka Autonomous Okrug,6.54,8.0,2003
Chukotka Autonomous Okrug,6.58,9.19,2004
Chukotka Autonomous Okrug,5.85,9.76,2005
Chukotka Autonomous Okrug,8.54,12.36,2006
Chukotka Autonomous Okrug,8.96,10.96,2007
Chukotka Autonomous Okrug,11.99,11.07,2008
Chukotka Autonomous Okrug,8.11,12.65,2009
Chukotka Autonomous Okrug,8.8,7.19,2010
Chukotka Autonomous Okrug,8.35,6.97,2011
Chukotka Autonomous Okrug,8.29,4.57,2012
Chukotka Autonomous Okrug,8.07,3.97,2013
Chukotka Autonomous Okrug,8.22,2.76,2014
Chukotka Autonomous Okrug,5.78,2.12,2015
