region,priceVodka,sellVodka,year
Zabaykalsky Krai,403.79,13.4,2010
Zabaykalsky Krai,438.47,13.81,2011
Zabaykalsky Krai,456.86,13.6,2012
Zabaykalsky Krai,599.58,12.7,2013
Zabaykalsky Krai,,9.2,2014
Zabaykalsky Krai,,8.6,2015
Yaroslavl Oblast,,18.6,2003
Yaroslavl Oblast,132.07,18.9,2004
Yaroslavl Oblast,151.79,14.5,2005
Yaroslavl Oblast,173.25,14.7,2006
Yaroslavl Oblast,203.9,15.1,2007
Yaroslavl Oblast,223.77,13.9,2008
Yaroslavl Oblast,250.39,13.6,2009
Yaroslavl Oblast,268.69,12.2,2010
Yaroslavl Oblast,331.62,11.84,2011
Yaroslavl Oblast,338.56,12.7,2012
Yaroslavl Oblast,528.03,11.1,2013
Yaroslavl Oblast,,9.8,2014
Yaroslavl Oblast,,9.6,2015
Moscow,,23.0,2003
Moscow,357.17,24.0,2004
Moscow,376.13,24.2,2005
Moscow,401.53,23.8,2006
Moscow,433.18,22.9,2007
Moscow,478.12,20.2,2008
Moscow,523.11,19.3,2009
Moscow,560.26,16.6,2010
Moscow,599.84,16.92,2011
Moscow,694.78,16.5,2012
Moscow,801.7,16.0,2013
Moscow,,15.7,2014
Moscow,,13.3,2015
Saint Petersburg,,14.3,2003
Saint Petersburg,234.6,13.9,2004
Saint Petersburg,241.2,16.2,2005
Saint Petersburg,255.11,16.4,2006
Saint Petersburg,266.9,14.0,2007
Saint Petersburg,522.45,12.5,2008
Saint Petersburg,644.12,9.4,2009
Saint Petersburg,701.89,9.5,2010
Saint Petersburg,723.12,9.01,2011
Saint Petersburg,747.38,8.6,2012
Saint Petersburg,812.79,7.2,2013
Saint Petersburg,,7.7,2014
Saint Petersburg,,6.7,2015
Jewish Autonomous Oblast,,6.4,2003
Jewish Autonomous Oblast,497.05,7.4,2004
Jewish Autonomous Oblast,589.63,7.1,2005
Jewish Autonomous Oblast,622.85,7.5,2006
Jewish Autonomous Oblast,672.83,9.1,2007
Jewish Autonomous Oblast,653.76,10.0,2008
Jewish Autonomous Oblast,636.84,10.7,2009
Jewish Autonomous Oblast,714.42,12.1,2010
Jewish Autonomous Oblast,851.25,12.17,2011
Jewish Autonomous Oblast,875.72,12.7,2012
Jewish Autonomous Oblast,932.48,10.1,2013
Jewish Autonomous Oblast,,8.8,2014
Jewish Autonomous Oblast,,9.2,2015
Republic of Buryatia,,13.9,2003
Republic of Buryatia,161.12,12.2,2004
Republic of Buryatia,199.23,13.5,2005
Republic of Buryatia,242.46,13.0,2006
Republic of Buryatia,267.18,14.2,2007
Republic of Buryatia,272.18,13.6,2008
Republic of Buryatia,,14.3,2009
Republic of Buryatia,,14.4,2010
Republic of Buryatia,,13.58,2011
Republic of Buryatia,,13.1,2012
Republic of Buryatia,,10.5,2013
Republic of Buryatia,,9.0,2014
Republic of Buryatia,,7.6,2015
,,,2003
,,,2004
,,,2005
,,,2006
,,,2007
,,,2008
,,,2009
,,,2010
,,,2011
,,,2012
,,,2013
,,,2014
,,,2015
,,,2003
,304.3,,2004
,348.64,,2005
,377.72,,2006
,429.83,,2007
,,,2008
,,,2009
,,,2010
,,,2011
,,,2012
,,,2013
,,,2014
,,,2015
Nenets Autonomous Okrug,,,2003
Nenets Autonomous Okrug,576.4,,2004
Nenets Autonomous Okrug,594.24,,2005
Nenets Autonomous Okrug,629.27,,2006
Nenets Autonomous Okrug,788.79,,2007
Nenets Autonomous Okrug,801.6,,2008
Nenets Autonomous Okrug,798.24,,2009
Nenets Autonomous Okrug,814.85,,2010
Nenets Autonomous Okrug,846.83,,2011
Nenets Autonomous Okrug,846.83,,2012
Nenets Autonomous Okrug,883.0,,2013
Nenets Autonomous Okrug,,,2014
Nenets Autonomous Okrug,,,2015
,,,2003
,1017.48,,2004
,730.29,,2005
,354.95,,2006
,,,2007
,,,2008
,,,2009
,,,2010
,,,2011
,,,2012
,,,2013
,,,2014
,,,2015
,,,2003
,245.53,,2004
,243.12,,2005
,239.52,,2006
,260.21,,2007
,,,2008
,,,2009
,,,2010
,,,2011
,,,2012
,,,2013
,,,2014
,,,2015
Khanty–Mansi Autonomous Okrug – Yugra,,,2003
Khanty–Mansi Autonomous Okrug – Yugra,487.86,,2004
Khanty–Mansi Autonomous Okrug – Yugra,507.25,,2005
Khanty–Mansi Autonomous Okrug – Yugra,457.57,,2006
Khanty–Mansi Autonomous Okrug – Yugra,466.47,,2007
Khanty–Mansi Autonomous Okrug – Yugra,467.33,,2008
Khanty–Mansi Autonomous Okrug – Yugra,488.68,,2009
Khanty–Mansi Autonomous Okrug – Yugra,523.73,,2010
Khanty–Mansi Autonomous Okrug – Yugra,585.8,,2011
Khanty–Mansi Autonomous Okrug – Yugra,586.16,,2012
Khanty–Mansi Autonomous Okrug – Yugra,603.76,,2013
Khanty–Mansi Autonomous Okrug – Yugra,,,2014
Khanty–Mansi Autonomous Okrug – Yugra,,,2015
Chukotka Autonomous Okrug,,12.3,2003
Chukotka Autonomous Okrug,489.85,12.4,2004
Chukotka Autonomous Okrug,626.71,11.1,2005
Chukotka Autonomous Okrug,724.9,17.0,2006
Chukotka Autonomous Okrug,733.54,17.4,2007
Chukotka Autonomous Okrug,844.47,23.1,2008
Chukotka Autonomous Okrug,1127.04,15.5,2009
Chukotka Autonomous Okrug,1399.47,15.9,2010
Chukotka Autonomous Okrug,1483.41,14.74,2011
Chukotka Autonomous Okrug,1421.45,13.7,2012
Chukotka Autonomous Okrug,1493.18,13.4,2013
Chukotka Autonomous Okrug,,11.3,2014
Chukotka Autonomous Okrug,,8.4,2015
,,,2003
,233.14,,2004
,300.0,,2005
,343.58,,2006
,,,2007
,,,2008
,,,2009
,,,2010
,,,2011
,,,2012
,,,2013
,,,2014
,,,2015
Yamalo-Nenets Autonomous Okrug,,,2003
Yamalo-Nenets Autonomous Okrug,385.92,,2004
Yamalo-Nenets Autonomous Okrug,385.92,,2005
Yamalo-Nenets Autonomous Okrug,474.63,,2006
Yamalo-Nenets Autonomous Okrug,575.24,,2007
Yamalo-Nenets Autonomous Okrug,645.74,,2008
Yamalo-Nenets Autonomous Okrug,677.69,,2009
Yamalo-Nenets Autonomous Okrug,721.47,,2010
Yamalo-Nenets Autonomous Okrug,704.76,,2011
Yamalo-Nenets Autonomous Okrug,751.29,,2012
Yamalo-Nenets Autonomous Okrug,834.54,,2013
Yamalo-Nenets Autonomous Okrug,,,2014
Yamalo-Nenets Autonomous Okrug,,,2015
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2003
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2004
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2005
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2006
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2007
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2008
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2009
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2010
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2011
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2012
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2013
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2014
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
,,,2015
