measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1996,1670934.420820814,1697045.2293139752,1649750.5297209707
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1996,430115.8242739147,436007.9568808395,424442.4830012559
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1996,862743.5706083158,877464.2057272911,848552.8356079332
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1996,313214.20486712496,318592.59046973765,307922.58567699423
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1992,22582.63203903642,25321.45346355649,20172.75534406004
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1992,8882.697326298583,10256.559254953987,7657.1151274622725
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1995,390456.82784345525,420146.41417161847,359253.16936420614
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1995,163180.32228040494,182858.59816455818,143204.9186651279
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1996,352143.9197815328,379224.939079699,325084.2990920303
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1996,146397.54024709362,163411.62938813813,128524.03166338975
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1997,1339288.3645695434,1384506.2395839086,1310187.8045243036
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1997,348107.87145083747,354584.27956282004,341754.8914709347
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1998,1256953.330282287,1303346.1338521002,1226637.4230992806
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1998,324293.9336883731,330400.0005645335,317000.81030014774
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1997,774082.358775365,798562.293720156,749948.2075878975
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1997,280043.0561388338,286447.01057782874,274317.75588974205
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1998,757303.9843491062,783838.2845609484,730537.9887375119
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1998,269611.73544116784,278371.06870432437,263454.1188237078
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2000,1666189.0728637334,1690064.6870231843,1644532.8954417869
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2000,437385.21585463226,444661.22428583144,430060.19942607067
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2000,1079953.719474452,1096018.2826953637,1064147.0399399186
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2000,370246.2990091623,375766.1038407413,363865.21342752303
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1999,1419223.184358124,1439115.1689697832,1397813.0728465787
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1999,375452.74537721573,381924.70725349867,369427.54429936473
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1999,841214.1822056278,856392.7801248806,827670.0525169384
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1999,302540.80020252446,307526.7992106391,297391.5422579815
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1993,25487.689146778906,28432.05764821691,22870.69239034706
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1993,9896.464998320756,11403.292960501172,8541.600272746133
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1997,304730.06445507274,327620.0794362701,280682.84538811236
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1997,130773.65350714215,146321.29414052374,114635.2693650843
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,2001,1795072.9881198027,1819283.8673462346,1769414.0795386247
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,2001,485022.0646204085,493578.5483894368,476967.649347965
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,2001,1224584.361335214,1245222.9399521134,1206306.696273826
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,2001,420259.8702861293,426582.59829527285,413507.3282412547
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1998,289432.7184027532,311431.88435241894,267283.12240542105
